scenario,scenario_key,name,budget,source_set,rate,seed,n_expected_steps,step_recall,chain_recall,reconstructability,n_events_pre_sampling,n_events
SC2,sc2,Starter,multi,azure_events+syslog,0.5,3,4,0.75,0.75,0.75,53978,27069
SC2,sc2,Starter,multi,azure_events+syslog,0.5,4,4,0.75,0.75,0.75,53978,26915
SC2,sc2,Starter,multi,azure_events+syslog,0.25,0,4,0.75,0.75,0.75,53978,13480
SC2,sc2,Starter,multi,azure_events+syslog,0.25,1,4,0.25,0.25,0.25,53978,13482
SC2,sc2,Starter,multi,azure_events+syslog,0.25,2,4,0.75,0.75,0.75,53978,13393
SC2,sc2,Starter,multi,azure_events+syslog,0.25,3,4,0.75,0.75,0.75,53978,13687
SC2,sc2,Starter,multi,azure_events+syslog,0.25,4,4,0.5,0.5,0.5,53978,13458
SC2,sc2,Starter,multi,azure_events+syslog,0.1,0,4,0.5,0.5,0.5,53978,5446
SC2,sc2,Starter,multi,azure_events+syslog,0.1,1,4,0.25,0.25,0.25,53978,5513
SC2,sc2,Starter,multi,azure_events+syslog,0.1,2,4,0.5,0.5,0.5,53978,5348
SC2,sc2,Starter,multi,azure_events+syslog,0.1,3,4,0.25,0.25,0.25,53978,5498
SC2,sc2,Starter,multi,azure_events+syslog,0.1,4,4,0.5,0.5,0.5,53978,5417
SC3,sc3,Parallel,single,auditd,1.0,0,4,0.0,0.0,0.0,206,206
SC3,sc3,Parallel,single,auth,1.0,0,4,0.25,0.25,0.25,2810,2810
SC3,sc3,Parallel,single,suricata,1.0,0,4,0.25,0.25,0.25,65385,65385
SC3,sc3,Parallel,single,syslog,1.0,0,4,0.25,0.25,0.25,14677,14677
SC3,sc3,Parallel,single,zeek,1.0,0,4,0.25,0.25,0.25,5596,5596
SC3,sc3,Parallel,single,auditd,1.0,1,4,0.0,0.0,0.0,206,206
SC3,sc3,Parallel,single,auth,1.0,1,4,0.25,0.25,0.25,2810,2810
SC3,sc3,Parallel,single,suricata,1.0,1,4,0.25,0.25,0.25,65385,65385
SC3,sc3,Parallel,single,syslog,1.0,1,4,0.25,0.25,0.25,14677,14677
SC3,sc3,Parallel,single,zeek,1.0,1,4,0.25,0.25,0.25,5596,5596
SC3,sc3,Parallel,single,auditd,1.0,2,4,0.0,0.0,0.0,206,206
SC3,sc3,Parallel,single,auth,1.0,2,4,0.25,0.25,0.25,2810,2810
